"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.310977673E0,1.951274425E-1,5.590460896E-1,9.762357712E0,9.780298326E0
2.320989424E0,2.154781520E-1,2.561795712E-1,9.513360023E0,9.519247751E0
2.330944800E0,2.059013397E-1,4.776432514E-1,1.000297451E1,1.001648828E1
2.340995988E0,5.386953801E-2,2.861070931E-1,9.657012939E0,9.661400422E0
2.351018582E0,3.351882473E-2,7.194576263E-1,9.736021042E0,9.762625083E0
2.361049379E0,8.858546615E-2,5.111620426E-1,1.009754562E1,1.011086355E1
2.370981277E0,8.499415964E-2,5.997475386E-1,1.001135445E1,1.002966295E1
2.380929726E0,-1.197100803E-2,5.662286878E-1,9.817423820E0,9.833746423E0
2.390928951E0,1.520318091E-1,5.793967843E-1,9.879673004E0,9.897815566E0
2.400928063E0,2.094926536E-1,5.781996846E-1,1.011789608E1,1.013656861E1
2.410927119E0,1.711854190E-1,3.627215624E-1,9.678560257E0,9.686867400E0
2.421011147E0,1.604115069E-1,3.854664862E-1,9.823410034E0,9.832278523E0
2.430936661E0,1.005564705E-1,3.962403834E-1,9.897629738E0,9.906068467E0
2.440921918E0,5.386953801E-2,4.177882075E-1,9.858125687E0,9.867121716E0
2.450913547E0,-4.788403213E-2,4.596867263E-1,1.002093124E1,1.003158351E1
2.460997861E0,-5.267243832E-2,4.632780254E-1,9.861717224E0,9.872733539E0
2.470971518E0,-8.020575345E-2,5.219359994E-1,9.654618263E0,9.669048762E0
2.481040847E0,-8.020575345E-2,4.548983276E-1,9.983820915E0,9.994500764E0
2.490983011E0,6.464344263E-2,5.446808934E-1,1.012986755E1,1.014470663E1
2.500941593E0,1.197100803E-2,4.632780254E-1,9.789890289E0,9.800853111E0
2.510957884E0,7.302315533E-2,3.986345828E-1,9.640253067E0,9.648767854E0
2.520936030E0,1.113303825E-1,1.987187415E-1,9.909601212E0,9.912218710E0
2.531017103E0,-9.217676520E-2,3.579331636E-1,1.041118622E1,1.041774501E1
2.541019139E0,-1.029506698E-1,5.255272985E-1,1.012388229E1,1.013803583E1
2.550965157E0,-2.513911761E-2,6.356605291E-1,1.005804157E1,1.007813954E1
2.561070166E0,-1.197100803E-2,1.006761789E0,9.945513725E0,9.996347126E0
2.571042171E0,2.274491638E-2,7.625532150E-1,9.520543098E0,9.551059922E0
2.581066673E0,1.795651317E-1,1.376665980E-1,9.475052834E0,9.477754055E0
2.591259924E0,1.316810995E-1,-1.855506301E-1,1.000895977E1,1.001154557E1
2.601228050E0,-2.861070931E-1,4.644751251E-1,1.072123528E1,1.073510504E1
2.611195113E0,-1.460463107E-1,1.179144382E0,1.080383492E1,1.086897235E1
2.621061144E0,2.681505978E-1,6.631938815E-1,1.007719517E1,1.010255380E1
2.631004160E0,8.978256583E-2,4.967968464E-1,8.832210541E0,8.846627100E0
2.640939168E0,7.781155407E-2,-1.999158412E-1,8.225279808E0,8.228076865E0
2.650941672E0,-5.626374111E-2,4.728548229E-1,9.927556992E0,9.938971029E0
2.660909424E0,-2.190694511E-1,6.380547285E-1,1.138921738E1,1.140917954E1
2.670933300E0,-8.619125932E-2,8.283938169E-1,1.079545593E1,1.082753592E1
2.680911738E0,-1.520318091E-1,6.991068721E-1,9.315838814E0,9.343271209E0
2.690919957E0,5.865794048E-2,1.987187415E-1,8.386888504E0,8.389447459E0
2.701020566E0,-4.788403213E-2,5.877765417E-1,9.518148422E0,9.536399925E0
2.710992371E0,5.386953801E-2,5.949591398E-1,1.026394272E1,1.028131307E1
2.720965273E0,4.309562966E-2,5.494692922E-1,1.069011021E1,1.070430894E1
2.730937224E0,-2.513911761E-2,5.770025849E-1,9.725247383E0,9.742381671E0
2.741090700E0,4.788403399E-3,2.262520641E-1,8.670601845E0,8.673554593E0
